station;phenomenon;uom;timestart;timeend;value
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T02:01:54.000+02:00;19.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T02:43:02.000+02:00;19.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T02:51:54.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T03:01:54.000+02:00;19.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T03:43:02.000+02:00;19.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T03:51:54.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T04:43:02.000+02:00;19.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T05:21:54.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T05:36:12.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T05:43:02.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T06:21:54.000+02:00;19
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T06:31:54.000+02:00;18.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T06:41:54.000+02:00;18.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T07:21:54.000+02:00;18.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T07:36:12.000+02:00;18.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T07:41:54.000+02:00;18.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T08:21:54.000+02:00;18.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T08:43:02.000+02:00;18.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T09:11:54.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T09:43:02.000+02:00;19.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T10:13:00.000+02:00;20.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T10:31:54.000+02:00;21.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T10:43:00.000+02:00;21.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T11:31:53.000+02:00;22.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T11:43:03.000+02:00;22.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T11:51:55.000+02:00;23.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T12:43:03.000+02:00;24.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T12:51:55.000+02:00;24.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T13:21:55.000+02:00;23.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T14:01:53.000+02:00;24.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T14:11:55.000+02:00;24.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T14:51:55.000+02:00;25.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T15:11:53.000+02:00;25.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T15:31:55.000+02:00;26.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T15:43:03.000+02:00;26.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T16:36:13.000+02:00;25.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T16:51:55.000+02:00;25.5
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T17:43:03.000+02:00;24.9
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T17:51:53.000+02:00;25.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T18:01:55.000+02:00;24.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T18:43:01.000+02:00;25.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T18:51:53.000+02:00;25.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T19:43:01.000+02:00;24.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T19:51:55.000+02:00;24.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T20:11:53.000+02:00;24.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T20:43:01.000+02:00;23.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T21:21:55.000+02:00;22.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T21:31:53.000+02:00;22.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T21:51:54.000+02:00;21.6
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T22:31:56.000+02:00;20.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T22:43:04.000+02:00;20.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T23:21:54.000+02:00;19.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-21T23:31:54.000+02:00;19.7
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T00:01:54.000+02:00;19.4
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T00:13:04.000+02:00;19.3
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T00:31:54.000+02:00;19.1
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T01:06:16.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T01:13:04.000+02:00;19.2
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T02:01:56.000+02:00;18.8
Weather_Station_ID_1;Temperature_C;Celsius;null;2018-08-22T02:31:54.000+02:00;18.4
